"","Species","Indicator_Value.s.FORAKO1","Indicator_Value.s.FORAKU2","Indicator_Value.s.FORAWO1","Indicator_Value.s.FORETA1","Indicator_Value.s.FORLAR1","Indicator_Value.index","Indicator_Value.stat","Indicator_Value.p.value","P_value"
"Abroscopus superciliaris","Abroscopus superciliaris",0,1,0,1,0,11,1,1,1
"Accipiter badius","Accipiter badius",0,0,1,0,0,3,1,1,1
"Aegithalos concinnus","Aegithalos concinnus",1,0,0,0,1,9,1,1,1
"Aethopyga nipalensis","Aethopyga nipalensis",1,1,0,0,1,18,1,1,1
"Aethopyga saturata","Aethopyga saturata",1,0,0,0,1,9,1,1,1
"Alcippe nipalensis","Alcippe nipalensis",1,1,1,1,0,26,1,1,1
"Anthipes monileger","Anthipes monileger",0,1,0,1,0,11,1,1,1
"Blythipicus pyrrhotis","Blythipicus pyrrhotis",1,0,1,0,0,7,1,1,1
"Certhia discolor","Certhia discolor",1,0,0,0,0,1,1,1,1
"Chelidorhynx hypoxanthus","Chelidorhynx hypoxanthus",1,1,1,1,1,31,1,NA,NA
"Chloropsis hardwickii","Chloropsis hardwickii",1,1,1,0,1,27,1,1,1
"Cissa chinensis","Cissa chinensis",1,0,1,0,0,7,1,1,1
"Columba hodgsonii","Columba hodgsonii",1,0,0,0,0,1,1,1,1
"Cyanoderma chrysaeum","Cyanoderma chrysaeum",1,1,0,0,0,6,1,1,1
"Dendrocitta formosae","Dendrocitta formosae",1,1,1,1,0,26,1,1,1
"Dicaeum cruentatum","Dicaeum cruentatum",1,1,1,1,1,31,1,NA,NA
"Dicaeum ignipectus","Dicaeum ignipectus",1,1,1,1,1,31,1,NA,NA
"Dicrurus leucophaeus","Dicrurus leucophaeus",1,1,1,1,1,31,1,NA,NA
"Dicrurus remifer","Dicrurus remifer",0,0,0,0,1,5,1,1,1
"Elachura formosa","Elachura formosa",0,0,0,0,1,5,1,1,1
"Enicurus maculatus","Enicurus maculatus",1,1,0,1,1,28,1,1,1
"Enicurus schistaceus","Enicurus schistaceus",0,0,1,1,1,25,1,1,1
"Erpornis zantholeuca","Erpornis zantholeuca",0,1,1,0,0,10,1,1,1
"Garrulax leucolophus","Garrulax leucolophus",1,1,0,1,0,17,1,1,1
"Grammatoptila striata","Grammatoptila striata",1,1,0,0,0,6,1,1,1
"Harpactes erythrocephalus","Harpactes erythrocephalus",1,0,1,1,0,19,1,1,1
"Hemipus picatus","Hemipus picatus",0,0,1,0,0,3,1,1,1
"Horornis fortipes","Horornis fortipes",1,0,0,0,0,1,1,1,1
"Hypsipetes leucocephalus","Hypsipetes leucocephalus",0,1,1,1,1,30,1,1,1
"Ianthocincla rufogularis","Ianthocincla rufogularis",0,0,0,0,1,5,1,1,1
"Ixos mcclellandii","Ixos mcclellandii",1,0,1,0,0,7,1,1,1
"Machlolophus spilonotus","Machlolophus spilonotus",1,0,0,0,0,1,1,1,1
"Minla ignotincta","Minla ignotincta",1,1,1,0,0,16,1,1,1
"Myophonus caeruleus","Myophonus caeruleus",0,0,1,1,1,25,1,1,1
"Niltava grandis","Niltava grandis",1,0,0,0,1,9,1,1,1
"Pericrocotus solaris","Pericrocotus solaris",1,0,0,0,0,1,1,1,1
"Phyllergates cucullatus","Phyllergates cucullatus",1,0,0,0,0,1,1,1,1
"Phylloscopus cantator","Phylloscopus cantator",0,1,0,0,0,2,1,1,1
"Phylloscopus castaniceps","Phylloscopus castaniceps",0,0,0,0,1,5,1,1,1
"Phylloscopus chloronotus","Phylloscopus chloronotus",1,1,1,1,1,31,1,NA,NA
"Phylloscopus maculipennis","Phylloscopus maculipennis",1,1,1,1,1,31,1,NA,NA
"Phylloscopus poliogenys","Phylloscopus poliogenys",1,1,1,1,1,31,1,NA,NA
"Phylloscopus reguloides","Phylloscopus reguloides",1,1,1,0,1,27,1,1,1
"Phylloscopus xanthoschistos","Phylloscopus xanthoschistos",0,0,1,0,1,14,1,1,1
"Pnoepyga albiventer","Pnoepyga albiventer",1,1,0,0,0,6,1,1,1
"Pnoepyga pusilla","Pnoepyga pusilla",0,1,0,1,1,24,1,1,1
"Pomatorhinus ferruginosus","Pomatorhinus ferruginosus",1,0,0,0,0,1,1,1,1
"Pomatorhinus ruficollis","Pomatorhinus ruficollis",0,0,0,0,1,5,1,1,1
"Psilopogon virens","Psilopogon virens",1,0,0,0,0,1,1,1,1
"Pteruthius melanotis","Pteruthius melanotis",1,0,0,1,0,8,1,1,1
"Rhipidura albicollis","Rhipidura albicollis",1,1,0,0,1,18,1,1,1
"Schoeniparus castaneceps","Schoeniparus castaneceps",1,0,0,1,0,8,1,1,1
"Stachyris nigriceps","Stachyris nigriceps",0,1,0,0,0,2,1,1,1
"Tarsiger rufilatus","Tarsiger rufilatus",1,1,1,1,1,31,1,NA,NA
"Tesia olivea","Tesia olivea",0,1,0,0,0,2,1,1,1
"Tickellia hodgsoni","Tickellia hodgsoni",0,1,0,0,0,2,1,1,1
"Trochalopteron affine","Trochalopteron affine",0,1,0,0,0,2,1,1,1
"Trochalopteron erythrocephalum","Trochalopteron erythrocephalum",0,1,0,0,0,2,1,1,1
"Yuhina bakeri","Yuhina bakeri",0,1,1,0,1,23,1,1,1
"Yuhina flavicollis","Yuhina flavicollis",1,1,0,1,0,17,1,1,1
